#,Ticker,MCap
462,SVMK,"$3.59 B                                                (Feb. 18, 2021)"
463,BHF,$3.58 B
464,NSIT,$3.55 B
465,SMPL,$3.55 B
466,UCBI,$3.54 B
467,VIRT,$3.52 B
468,GGAL,$3.51 B
469,ABCM,"$3.51 B                                                (Dec. 1, 2022)"
470,PCH,$3.49 B
471,NEOG,$3.49 B
472,FRHC,$3.47 B
473,HLNE,$3.46 B
474,CVBF,$3.46 B
475,NWE,$3.46 B
476,SSRM,$3.46 B
477,LOPE,$3.44 B
478,DIOD,$3.42 B
479,GOCO,$3.41 B
480,NARI,$3.40 B
481,NK,$3.39 B
482,ONEM,$3.39 B
483,MRVI,$3.39 B
484,BECN,$3.38 B
485,DADA,$3.38 B
486,LNTH,$3.37 B
487,IPAR,$3.35 B
488,NTLA,$3.35 B
489,VIR,$3.34 B
490,FOLD,$3.33 B
491,RARE,$3.31 B
492,PLTK,$3.31 B
493,FHB,$3.30 B
494,SFM,$3.27 B
495,HMSY,"$3.26 B                                                (Feb. 18, 2021)"
496,EYE,$3.23 B
497,AEIS,$3.23 B
498,HRMY,$3.20 B
499,ABCB,$3.20 B
500,SANM,$3.18 B
501,BLKB,$3.16 B
502,EBC,$3.14 B
503,STNE,$3.14 B
504,REGI,"$3.11 B                                                (June 1, 2022)"
505,PS,"$3.07 B                                                (Feb. 18, 2021)"
506,PI,$3.07 B
507,OMAB,$3.05 B
508,OLLI,$3.05 B
509,TWNK,$3.03 B
510,INMD,$3.03 B
511,AMBA,$3.03 B
512,GT,$3.02 B
513,SBRA,$3.01 B
514,CATY,$3.01 B
515,LIVN,$3.00 B
516,EVOP,$2.98 B
517,TNDM,$2.98 B
518,ACIW,$2.97 B
519,AXNX,$2.96 B
520,TCBI,$2.96 B
521,COOP,$2.96 B
522,HCM,$2.95 B
523,PAGP,$2.95 B
524,CVET,"$2.94 B                                                (Oct. 1, 2022)"
525,AY,$2.93 B
526,DRNA,"$2.93 B                                                (Dec. 1, 2021)"
527,GLPG,$2.93 B
528,SPT,$2.92 B
529,PTON,$2.92 B
530,SPWR,$2.92 B
531,BEAM,$2.90 B
532,PLXS,$2.90 B
533,PPBI,$2.90 B
534,MMYT,$2.89 B
535,PTCT,$2.88 B
536,JJSF,$2.88 B
537,AAWW,$2.87 B
538,PZZA,$2.86 B
539,CVLT,$2.85 B
540,PEGA,$2.84 B
541,RUSHA,$2.84 B
542,RUSHB,$2.84 B
543,TBIO,"$2.84 B                                                (Aug. 1, 2021)"
544,IBOC,$2.81 B
545,BPMC,$2.81 B
546,CD,$2.81 B
547,STAA,$2.80 B
548,CCOI,$2.79 B
549,PSEC,$2.79 B
550,FULT,$2.79 B
551,YY,$2.78 B
